subj,lineup,exposure,target,resp_expec,resp_given,conf,conf_cat,age,suspect_id,filler_id,no_id,is_target,say_target,is_corr
210,D1,15s,present,3,3,6,med,35,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
110,D1,60s,present,7,7,7,high,37,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
249,D1,60s,present,3,3,3,low,24,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
268,W2,30s,absent,0,4,6,med,24,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
229,YO,60s,present,3,1,4,med,32,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
72,D1,30s,present,7,7,6,med,31,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
203,D3,15s,absent,0,1,7,high,22,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
69,YO,30s,absent,0,5,3,low,20,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
31,W2,60s,present,7,5,7,high,33,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
52,D3,60s,absent,0,7,6,med,35,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
113,W2,15s,absent,0,3,6,med,32,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
179,YO,60s,absent,0,0,7,high,27,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
118,YO,15s,absent,0,1,8,high,32,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
251,D2,15s,absent,0,5,6,med,30,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
141,D2,30s,absent,0,5,7,high,37,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
145,D1,30s,absent,0,3,8,high,30,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
227,YO,15s,present,7,3,6,med,27,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
250,YO,15s,absent,0,4,7,high,24,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
185,W2,30s,absent,0,6,7,high,26,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
36,W2,30s,absent,0,1,8,high,21,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
156,D3,60s,absent,0,8,1,low,28,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
26,D3,60s,absent,0,4,9,high,35,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
59,D1,15s,present,7,7,7,high,38,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
1,W2,60s,absent,0,2,2,low,29,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
66,D1,60s,absent,0,1,3,low,33,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
105,D1,60s,absent,0,5,2,low,24,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
149,YO,15s,present,3,3,8,high,28,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
27,D2,30s,absent,0,8,1,low,25,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
116,D2,30s,present,7,5,7,high,33,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
128,D2,60s,present,7,0,8,high,39,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
248,W2,30s,present,3,3,8,high,29,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
199,D3,30s,present,3,3,7,high,25,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
247,D2,30s,present,3,1,4,med,18,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
160,W1,60s,present,7,1,3,low,20,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
25,W1,15s,present,7,6,4,med,34,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
246,D3,60s,present,7,1,9,high,31,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
238,D1,30s,present,3,3,4,med,32,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
111,D2,60s,absent,0,0,3,low,22,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
15,W1,30s,present,7,0,7,high,36,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
243,YO,60s,present,7,7,7,high,23,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
236,YO,30s,absent,0,3,7,high,22,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
271,YO,30s,absent,0,5,6,med,24,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
