ID,sex,age,exposure,order,TP,parade_response,acc,lineup,corpus,parade,rt,conf,conf_rt
5f3e6a4c5ec7d106ce66d203,Male,39,15s,0,Absent,0,1,D3,DYVIS,nine,28597.83,2,15087.115
5ef90e8cf0849b0db25fe232,Male,32,60s,0,Absent,2,0,D2,DYVIS,nine,7606.29,6,5790.72
5eb05ee34ca8a81042c289ab,Female,30,60s,0,Absent,0,1,D2,DYVIS,nine,14020.895,7,11855.63
5f6b8b7db242370b7f5e54f3,Male,35,30s,3,Present,9,0,YO,YORVIS,nine,17918.16,8,10729.99
5ea4cebb8944a8495280db42,Female,24,15s,0,Absent,4,0,D1,DYVIS,nine,9503.975,1,4180.495
5ebac91735226005282f48dd,Male,24,15s,0,Absent,0,1,D1,DYVIS,nine,7764.82,8,4082.68
5fb27c0b98cf2f8613d51afc,Male,29,15s,0,Absent,2,0,W1,WYRED,nine,8120.21,8,8368.795
5cc5ce5bbad2c800158b12aa,Male,26,30s,7,Present,0,0,D3,DYVIS,nine,10381.075,8,7402.065
5fb29577ca2ab98b170f5299,Male,32,30s,7,Present,1,0,D3,DYVIS,nine,11860,1,6414
5cae6a77b38ea60016e54889,Female,20,15s,0,Absent,9,0,W1,WYRED,nine,32206.4,5,8278.745
6002f4da172c9b336a44d2c0,Female,32,15s,0,Absent,2,0,W1,WYRED,nine,4953.2,4,5162.39
5f2c44a7ad8a630dd752f596,Female,23,15s,0,Absent,3,0,D1,DYVIS,nine,4714.485,7,4580.725
59e4fe775de9b000017ecfd0,Female,33,15s,0,Absent,6,0,D2,DYVIS,nine,7482.655,3,8302.94
5d68c8aa40524c00189e8ac2,Male,29,15s,0,Absent,9,0,D2,DYVIS,nine,4565.945,8,3125.97
5fd8d8568ffdad0a4414e351,Female,40,30s,0,Absent,6,0,W1,WYRED,nine,74800.325,2,5819.135
5e1cf0eb65b6d3071f489de9,Female,27,15s,3,Present,3,1,W1,WYRED,nine,7546.44,5,5278.42
574c19047fd0ec0006b655ec,Female,26,30s,0,Absent,5,0,D3,DYVIS,nine,5873,8,6233
59a02221ec2f75000124edea,Female,34,30s,0,Absent,9,0,D3,DYVIS,nine,11364.495,6,7693.31
5fb283bb2be93b86a58a55b8,Male,29,30s,7,Present,6,0,W2,WYRED,nine,19699.69,1,8095.165
5f01eb945dce430688764829,Male,20,30s,3,Present,3,1,W1,WYRED,nine,2781.11,8,3768.37
582468295f4d1c0001c7c467,Male,26,15s,3,Present,6,0,D1,DYVIS,nine,3541.815,6,4950.005
5de3c83c2033793be6591e53,Male,37,60s,7,Present,1,0,D1,DYVIS,nine,11529.535,6,5792.38
5f324b70701dca04e0ea2c3e,Male,29,60s,7,Present,7,1,D1,DYVIS,nine,11861.87,8,8312.17
5f345b72710476368f1bc455,Male,21,60s,3,Present,1,0,D1,DYVIS,nine,10390.82,6,7156.955
58a9acb966e4640001c53a7f,Male,30,30s,0,Absent,0,1,W2,WYRED,nine,8349,7,12549
5d08aa3601331e0001b48923,Male,22,60s,3,Present,3,1,YO,YORVIS,nine,11351.97,5,8916.565
5ff4572e8929f0b01798fb55,Female,20,15s,3,Present,3,1,D2,DYVIS,nine,13640.075,7,9085.675
5f0a14c3d362030c483654a3,Male,18,30s,7,Present,7,1,D1,DYVIS,nine,6782.415,2,4569.675
572f526c3c27e7000e0b8aaa,Male,30,30s,7,Present,9,0,D1,DYVIS,nine,17922.3,7,8820.62
5ee5defbfe74a3000d106f51,Male,28,60s,0,Absent,0,1,W1,WYRED,nine,8833.875,9,10285.585
5fa43bb9a1da9605a34dcc0d,Male,21,30s,0,Absent,0,1,YO,YORVIS,nine,10367.405,1,4311.695
5e24e485cfb6eb000c6c2188,Female,22,60s,0,Absent,0,1,W2,WYRED,nine,12990.295,3,10056.155
5ff5a8e4c4d15f034f60ce96,Female,20,60s,7,Present,1,0,W2,WYRED,nine,29428.72,7,7738.97
5fbf7a3d2c47c32577032555,Female,39,60s,7,Present,4,0,W2,WYRED,nine,6288.675,8,5666.34
5cbf0f6b0cae6b0017409a1e,Male,32,60s,0,Absent,5,0,D3,DYVIS,nine,11271.44,2,6634.745
5f7477abcf5ee9010adc38bb,Female,20,60s,0,Absent,9,0,D3,DYVIS,nine,6455.255,1,6749.065
5fb4f3448892dc2e1fe5a2f8,Female,21,15s,0,Absent,0,1,W2,WYRED,nine,7284,3,3750
5ffcb9caa9a01e12555b4641,Male,32,15s,0,Absent,0,1,W2,WYRED,nine,8334.055,8,4170.12
5ecee29193c3452e95a3d873,Female,37,60s,0,Absent,4,0,W1,WYRED,nine,4821.98,2,4360.03
5615f3a47ffc8a000f812714,Male,32,60s,0,Absent,2,0,YO,YORVIS,nine,12859.145,4,31322.57
5fbe65ca50c24314c8b06551,Female,32,60s,0,Absent,4,0,YO,YORVIS,nine,16159.64,2,8533.335
5ee5316d8982500d5e337e4e,Male,20,15s,0,Absent,8,0,YO,YORVIS,nine,4355.885,6,4214.51
5f8806a4a5234124fb53e5a7,Female,20,30s,0,Absent,4,0,D2,DYVIS,nine,9649.53,7,5603.5
5e4feb8037713502e9ed364b,Female,19,60s,0,Absent,6,0,D1,DYVIS,nine,6123.925,4,6613.49
5edbe8bede51ce095464a4a6,Male,21,30s,0,Absent,9,0,D1,DYVIS,nine,4434.77,8,3930.895
5afc14a00b2d5f00015693b4,Male,35,15s,7,Present,0,0,YO,YORVIS,nine,15165,9,6221
5eadaff848b26f4483ae62d9,Male,39,15s,0,Absent,4,0,YO,YORVIS,nine,3428.2,9,2540.305
6004f143f2c6bf3c154374bc,Male,18,30s,0,Absent,2,0,W2,WYRED,nine,15474.795,5,7008.505
5f465afff2f28602c7ea8c10,Male,22,60s,0,Absent,7,0,D3,DYVIS,nine,5843.339998,6,3240.724999
5fc6b0e573967e383a87b298,Female,29,60s,0,Absent,3,0,D3,DYVIS,nine,9263.9,5,6673.305
597645f068264c0001c48c5b,Male,34,60s,0,Absent,2,0,W2,WYRED,nine,26164,7,4577
5d470786da637a00014ba26f,Male,35,15s,3,Present,2,0,YO,YORVIS,nine,14914,6,10471
5fb4b543282b20203734ba72,Male,27,30s,0,Absent,4,0,D2,DYVIS,nine,3519.13,2,3927.445
60075468763f8022cd8313ef,Female,21,30s,0,Absent,5,0,D2,DYVIS,nine,5812.215,7,5878.645
5f6dbceffa9ab9240869641c,Female,27,60s,7,Present,6,0,D2,DYVIS,nine,6448.325,10,2298.4
5f622fbe1fbbd21051cb28b3,Male,39,30s,3,Present,3,1,W2,WYRED,nine,13009.52,8,10470.805
5f59ea191a6180011ed70ef8,Female,28,30s,3,Present,6,0,D3,DYVIS,nine,16225.51,8,5687.445
5f835b913ffc5f0fd6bc7492,Female,23,30s,3,Present,0,0,D2,DYVIS,nine,11373.44,5,6787.38
5faea720ade7d409342741fa,Female,22,60s,3,Present,3,1,W2,WYRED,nine,13747.995,8,13372.83
5fc4c0f61de4be951356ef9b,Male,18,60s,7,Present,5,0,W1,WYRED,nine,14374,4,8361
5fbe37674974272f0611e4ac,Male,19,15s,7,Present,6,0,W1,WYRED,nine,4671.23,8,3738.1
5e3878bdb7fe58049b837ea9,Male,19,60s,7,Present,4,0,D3,DYVIS,nine,9521.455,7,2531.875
5eacaaf0fb58ff330a48192b,Female,27,15s,3,Present,3,1,D3,DYVIS,nine,8860.005,5,6232.175
5f6e1ae429ca17301e49a192,Female,21,30s,3,Present,3,1,D1,DYVIS,nine,4731.175,5,4926.53
5d7c060606189b0017ba79c9,Female,37,60s,0,Absent,5,0,D2,DYVIS,nine,13353.57,5,4700
5edf2a9fb1248f1cd05f57fd,Male,33,30s,7,Present,2,0,W1,WYRED,nine,10220.58,6,11595.065
5eac3dc896a6242689110c31,Female,21,30s,7,Present,1,0,W1,WYRED,nine,9751.48,6,32756.39
5fa3f95e37e424055200c834,Male,30,60s,7,Present,4,0,YO,YORVIS,nine,4909.695,6,4998.02
